Título,Compositor,Época,Género,Formato vocal,Acompañamiento,Idioma,Dificultad,Ediciones,PDFs,MIDIs,IMSLP URL
María la portuguesa,Cano,Contemporáneo,Popular,SATB,,Español,,1,1,0,
Mazurca de las sombrillas,Moreno Torroba,Zarzuela,Repertorio del coro (piloto),SATB/variable,A cappella / acompañado,Varios,Por definir,1,0,0,
Misa Brevis 'Aux,Chapelles' Charles Gounod,Romanticismo,Repertorio del coro (piloto),SATB/variable,A cappella / acompañado,Varios,Por definir,1,0,0,
Misa Brevis Aux Chapelles,Charles Gounod,,,SATB,,,,0,0,0,
Misa de Difuntos - Introitus,Anónimo,Tradicional,Réquiem,SATB,,Latín,,1,1,0,
Misa de Difuntos - Kyrie,Anónimo,Tradicional,Réquiem,SATB,,Latín,,1,1,0,
Misa de Difuntos - Sanctus,Anónimo,Tradicional,Réquiem,SATB,,Latín,,1,1,0,
Miserere,Antonio Lotti,Barroco,Repertorio del coro (piloto),SATB/variable,A cappella / acompañado,Varios,Por definir,1,1,0,https://imslp.org/wiki/Miserere_%28Lotti%2C_Antonio%29
Miserere mei Deus,Gregorio Allegri,,,SSATB,,,,0,0,0,
Missa de Angelis,Canto gregoriano,Medieval,Gregoriano,SATB,,Latín,,1,1,0,
Musica Dei donum,Orlande de Lassus,,,SATB,,,,0,0,0,https://imslp.org/wiki/Musica_Dei_donum_optimi%2C_LV_999_%28Lassus%2C_Orlande_de%29
Nada te turbe,Taizé,Contemporánea,Repertorio del coro (piloto),SATB/variable,A cappella / acompañado,Varios,Por definir,1,0,0,
Ninna Nanna Russa,Tradicional rusa,Tradicional,Nana,SATB,,Ruso,,1,1,0,
Nisi Dominus,Antonio Vivaldi,,,SATB,,,,0,0,0,https://imslp.org/wiki/Nisi_Dominus%2C_RV_803_%28Vivaldi%2C_Antonio%29
Noche de paz,Frank Gruber,Tradicional,Repertorio del coro (piloto),SATB/variable,A cappella / acompañado,Varios,Por definir,1,3,0,
Nocturnos de la Ventana,Lorca/Vila,Siglo XX,Repertorio del coro (piloto),SATB/variable,A cappella / acompañado,Varios,Por definir,1,1,0,
Northern Lights,Ola Gjeilo,,,SSAATTBB,,,,0,0,0,
Now is the month of Maying,Thomas Morley,,,SATB,,,,0,0,0,https://imslp.org/wiki/Now_is_the_Month_of_Maying_%28Morley%2C_Thomas%29
Nunc Dimittis,Sergei Rachmaninoff,,,SATB,,,,0,0,0,
O Haupt voll Blut und Wunden,Johann Sebastian Bach,,,SATB,,,,0,0,0,https://imslp.org/wiki/Choral%3A_O_Haupt_Voll_Blut_Und_Wunden_BWV244_%28Bach%2C_Johann_Sebastian%29
O Salutaris Hostia,César Franck,,,SATB,,,,0,0,0,
O Santíssima,Tradicional siciliano,Tradicional,Repertorio del coro (piloto),SATB/variable,A cappella / acompañado,Varios,Por definir,1,0,0,
O Tannenbaum,Tradicional alemán,Tradicional,Repertorio del coro (piloto),SATB/variable,A cappella / acompañado,Varios,Por definir,1,0,0,
O Vos omnes,Tomas Luis de Victoria,Renacimiento,Repertorio del coro (piloto),SATB/variable,A cappella / acompañado,Varios,Por definir,1,1,0,https://imslp.org/wiki/O_vos_omnes_%28Victoria%2C_Tom%C3%A1s_Luis_de%29
O bone Jesu,Giovanni Pierluigi da Palestrina,,,SATB,,,,0,0,0,https://imslp.org/wiki/O_bone_Jesu_%28Palestrina%2C_Giovanni_Pierluigi_da%29
O magnum mysterium,Tomas L. de Victoria,Renacimiento,Repertorio del coro (piloto),SATB/variable,A cappella / acompañado,Varios,Por definir,1,2,0,https://imslp.org/wiki/Missa_O_magnum_mysterium_%28Victoria%2C_Tom%C3%A1s_Luis_de%29
